ID_id,ID_tdate,ID_bdate,ID_sex,Task_onset,Task_offset,Task_model_type,Task_correct_final_ci,Construct_Action_onset,Construct_Action_offset,Construct_Action_action_cd,Construct_Action_target_rgbls,Construct_Action_verticality_ab,Construct_Action_orientation_longblock_hv,Construct_Action_relation1_color_rgbls,Construct_Action_relation1_orientation_hv,Construct_Action_relation1_frontback_offset,Construct_Action_relation1_leftright_offset,Construct_Action_relation2_color_rgbls,Construct_Action_relation2_orientation_hv,Construct_Action_relation2_frontback_offset,Construct_Action_relation2_leftright_offset,Construct_Action_relation3_color_rgbls,Construct_Action_relation3_orientation_hv,Construct_Action_relation3_frontback_offset,Construct_Action_relation3_leftright_offset,Construct_Action_relation4_color_rgbls,Construct_Action_relation4_orientation_hv,Construct_Action_relation4_frontback_offset,Construct_Action_relation4_leftright_offset,Construct_Action_relation5_color_rgbls,Construct_Action_relation5_orientation_hv,Construct_Action_relation5_frontback_offset,Construct_Action_relation5_leftright_offset,Construct_Action_relation6_color_rgbls,Construct_Action_relation6_orientation_hv,Construct_Action_relation6_frontback_offset,Construct_Action_relation6_leftright_offset,Perspective_Orienting_onset,Perspective_Orienting_offset,Perspective_Orienting_direction_lr
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,186014,186014,c,yl,a,h,bl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,191590,191590,c,gs,a,.,yl,h,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,218008,218008,d,bl,b,h,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,220422,220422,c,bl,b,h,yl,v,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,228854,228854,d,gs,a,.,yl,v,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,237286,237286,c,bs,b,.,bl,h,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,237320,237320,c,gs,b,.,bl,h,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,239938,239938,d,gs,b,.,bl,h,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,243746,243746,c,gl,b,v,bl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,248166,248166,c,gs,a,.,yl,v,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,255680,255680,d,gs,a,.,yl,h,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,256564,256564,c,gs,a,.,yl,h,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,267376,267376,c,ys,b,.,bl,v,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"","",""
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",186014,186014,.
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",204510,204510,c
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",209032,209032,c
BT_S010_AD,03/18/2024,03/19/2022,f,177038,272102,m1,c,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",215696,215696,a
